Date,Open,High,Low,Close,Adj Close,Volume
2018-01-26,113.809998,113.809998,111.489998,113.339996,107.396713,476000
2018-01-29,113.070000,113.680000,112.440002,112.599998,106.695526,266500
2018-01-30,112.129997,112.610001,111.349998,111.980003,106.108040,335900
2018-01-31,112.680000,114.820000,112.190002,114.209999,108.221107,802500
2018-02-01,114.059998,117.580002,112.500000,116.129997,110.040421,609800
2018-02-02,115.559998,115.559998,113.190002,114.269997,108.277946,545400
2018-02-05,113.440002,114.019997,110.000000,110.339996,104.554047,710900
2018-02-06,109.000000,110.730003,107.580002,108.720001,103.018990,843200
2018-02-07,108.830002,113.419998,108.220001,110.959999,105.141533,588500
2018-02-08,111.120003,111.239998,109.629997,110.169998,104.392937,716900
2018-02-09,107.959999,109.389999,100.500000,107.849998,102.194611,2289000
2018-02-12,108.070000,109.250000,104.430000,104.860001,99.361389,960600
2018-02-13,104.150002,105.889999,104.150002,105.790001,100.242630,572200
2018-02-14,104.980003,105.989998,104.239998,105.910004,100.356346,512400
2018-02-15,106.599998,107.599998,105.389999,107.290001,101.663963,525100
2018-02-16,106.410004,108.099998,106.269997,107.260002,101.987259,340000
2018-02-20,106.610001,106.930000,105.430000,105.500000,100.313782,341000
2018-02-21,105.620003,105.970001,104.900002,104.940002,99.781303,394500
2018-02-22,105.260002,106.459999,104.199997,104.510002,99.372444,348100
2018-02-23,104.860001,105.430000,104.150002,104.989998,99.828842,305600
2018-02-26,105.209999,105.620003,103.849998,104.660004,99.515076,514000
2018-02-27,104.559998,105.050003,103.459999,103.510002,98.421623,476600
2018-02-28,103.760002,104.980003,102.900002,102.910004,97.851097,571000
2018-03-01,102.980003,103.769997,100.779999,102.150002,97.128471,417100
2018-03-02,101.680000,102.680000,100.610001,102.480003,97.442238,383500
2018-03-05,102.199997,104.120003,101.790001,103.809998,98.706833,363800
2018-03-06,104.320000,106.059998,103.900002,105.769997,100.570503,469100
2018-03-07,105.010002,106.360001,104.510002,105.169998,100.000000,401700
2018-03-08,105.650002,106.080002,104.750000,105.599998,100.408859,245500
2018-03-09,105.800003,107.540001,105.099998,107.470001,102.186943,292400
2018-03-12,107.809998,108.449997,107.550003,107.970001,102.662361,404800
2018-03-13,108.040001,108.760002,107.830002,108.260002,102.938103,329600
2018-03-14,108.660004,109.040001,106.940002,107.139999,101.873169,527100
2018-03-15,107.120003,107.500000,104.849998,105.199997,100.028503,429900
2018-03-16,105.410004,107.489998,104.570000,105.410004,100.228210,765300
2018-03-19,105.400002,105.709999,104.040001,104.879997,99.724243,390000
2018-03-20,105.209999,105.699997,104.449997,105.129997,99.961967,482800
2018-03-21,104.940002,107.919998,104.940002,107.190002,101.920708,437300
2018-03-22,106.059998,107.440002,104.959999,105.339996,100.161652,604400
2018-03-23,105.250000,105.849998,102.779999,102.980003,97.917671,444500
2018-03-26,104.209999,105.500000,103.730003,105.209999,100.038025,399400
2018-03-27,105.150002,105.720001,102.809998,103.339996,98.259956,516200
2018-03-28,103.059998,103.980003,102.720001,103.230003,98.155373,396200
2018-03-29,103.779999,105.610001,103.779999,104.410004,99.277367,400200
2018-04-02,104.059998,104.139999,100.180000,101.500000,96.510406,462800
2018-04-03,101.820000,102.739998,101.120003,102.440002,97.404198,450600
2018-04-04,100.779999,102.870003,100.680000,102.620003,97.575356,255100
2018-04-05,103.389999,103.790001,103.010002,103.389999,98.307495,303700
2018-04-06,102.370003,102.370003,97.269997,98.320000,93.486732,1273500
2018-04-09,98.620003,99.080002,97.220001,97.410004,92.621490,821300
2018-04-10,98.800003,98.800003,97.029999,98.389999,93.553276,865000
2018-04-11,97.760002,98.910004,97.760002,98.480003,93.638863,442300
2018-04-12,99.040001,99.940002,98.730003,99.610001,94.713333,294100
2018-04-13,99.970001,100.580002,98.989998,99.339996,94.456581,317600
2018-04-16,100.000000,100.790001,99.830002,100.430000,95.493034,371800
2018-04-17,100.949997,101.809998,100.510002,100.660004,95.711693,483800
2018-04-18,101.199997,103.730003,101.029999,102.660004,97.613388,768500
2018-04-19,102.230003,103.070000,101.820000,102.889999,97.832085,738700
2018-04-20,102.459999,103.400002,102.059998,102.419998,97.385185,429400
2018-04-23,102.360001,103.080002,102.000000,102.559998,97.518311,418600
2018-04-24,102.989998,103.519997,99.269997,99.760002,94.855942,535300
2018-04-25,104.160004,110.000000,104.160004,107.940002,102.633827,1299600
2018-04-26,108.379997,108.379997,106.150002,106.720001,101.473808,509000
2018-04-27,106.940002,108.389999,106.400002,108.089996,102.776459,452000
2018-04-30,108.459999,108.910004,107.290001,107.730003,102.434151,678400
2018-05-01,107.330002,107.790001,105.699997,107.320000,102.044319,597900
2018-05-02,107.279999,107.910004,106.739998,106.849998,101.597412,510700
2018-05-03,106.440002,106.660004,104.489998,106.250000,101.026917,356600
2018-05-04,105.889999,108.110001,105.339996,107.279999,102.006279,257900
2018-05-07,107.449997,108.519997,106.570000,108.260002,102.938103,383400
2018-05-08,108.440002,109.910004,107.419998,107.589996,102.301048,498200
2018-05-09,107.000000,107.919998,105.849998,105.989998,100.779678,741900
2018-05-10,106.540001,106.540001,105.300003,105.820000,100.618050,528200
2018-05-11,105.800003,106.059998,105.209999,105.940002,100.732155,296200
2018-05-14,106.059998,106.820000,105.730003,105.980003,101.123367,282200
2018-05-15,105.360001,106.059998,104.650002,105.010002,100.197823,463100
2018-05-16,104.739998,106.599998,104.739998,105.599998,100.760765,422200
2018-05-17,105.260002,106.400002,105.070000,105.550003,100.713066,765200
2018-05-18,105.550003,107.760002,105.550003,107.169998,102.258827,486400
2018-05-21,107.910004,108.730003,106.790001,107.230003,102.316078,430200
2018-05-22,107.529999,108.790001,107.099998,107.169998,102.258827,346300
2018-05-23,106.919998,107.120003,105.970001,106.620003,101.734024,288100
2018-05-24,106.540001,107.870003,106.400002,107.639999,102.707298,305600
2018-05-25,107.349998,108.680000,107.169998,108.000000,103.050781,278900
2018-05-29,107.669998,108.680000,107.059998,107.510002,102.583260,372600
2018-05-30,107.989998,109.330002,107.739998,108.550003,103.575584,298100
2018-05-31,108.809998,108.989998,106.720001,107.389999,102.468758,365200
2018-06-01,107.970001,110.000000,107.930000,108.809998,103.823677,543000
2018-06-04,108.849998,109.599998,108.339996,109.290001,104.281677,208400
2018-06-05,109.360001,109.739998,108.370003,109.099998,104.100380,243400
2018-06-06,109.260002,110.769997,108.680000,110.550003,105.483932,245800
2018-06-07,110.720001,111.809998,110.320000,111.489998,106.380852,242200
2018-06-08,111.480003,111.959999,110.779999,111.139999,106.046906,366900
2018-06-11,111.250000,111.720001,110.160004,110.449997,105.388504,703600
2018-06-12,110.430000,110.690002,109.150002,110.510002,105.445778,610600
2018-06-13,109.220001,109.220001,106.059998,107.139999,102.230209,1141100
2018-06-14,107.279999,108.279999,106.839996,107.400002,102.478271,422000
2018-06-15,107.360001,109.040001,106.839996,108.580002,103.604210,573700
2018-06-18,107.910004,108.820000,107.739998,108.330002,103.365677,331100
2018-06-19,107.320000,107.570000,106.309998,107.360001,102.440109,468900
2018-06-20,107.410004,108.120003,106.290001,107.519997,102.592796,229400
2018-06-21,107.370003,107.500000,106.690002,106.959999,102.058441,278600
2018-06-22,107.389999,108.400002,106.959999,108.220001,103.260727,592900
2018-06-25,108.040001,109.699997,106.790001,108.599998,103.623299,474800
2018-06-26,108.870003,108.870003,107.730003,108.019997,103.069878,371500
2018-06-27,108.150002,109.129997,107.230003,107.370003,102.449646,293900
2018-06-28,107.199997,108.699997,107.040001,108.629997,103.651909,270300
2018-06-29,108.720001,110.370003,108.260002,108.309998,103.346588,482900
2018-07-02,107.510002,109.540001,107.129997,108.879997,103.890450,388700
2018-07-03,109.709999,110.779999,108.989998,109.580002,104.558395,282400
2018-07-05,110.029999,110.070000,108.570000,110.050003,105.006851,330400
2018-07-06,110.040001,112.430000,109.949997,112.300003,107.153748,367100
2018-07-09,112.480003,113.320000,112.279999,112.930000,107.754875,357300
2018-07-10,113.000000,114.110001,112.919998,113.959999,108.737671,323400
2018-07-11,113.400002,114.570000,111.349998,113.739998,108.527756,262700
2018-07-12,114.300003,114.300003,113.129997,113.320000,108.126999,228200
2018-07-13,113.180000,114.900002,113.180000,114.320000,109.081177,319700
2018-07-16,114.300003,114.690002,113.129997,113.220001,108.031578,242000
2018-07-17,112.889999,113.660004,111.610001,112.580002,107.420898,466300
2018-07-18,112.510002,113.500000,111.989998,113.239998,108.050667,452500
2018-07-19,113.029999,115.000000,111.339996,114.360001,109.119331,317700
2018-07-20,114.209999,115.970001,113.519997,114.980003,109.710930,388300
2018-07-23,114.419998,114.860001,112.169998,112.519997,107.363663,610500
2018-07-24,112.599998,114.639999,111.099998,112.739998,107.573578,482000
2018-07-25,116.000000,121.919998,115.989998,121.889999,116.304260,1485300
2018-07-26,122.620003,124.339996,121.419998,122.250000,116.647766,739600
2018-07-27,122.779999,122.790001,121.339996,122.190002,116.590523,601500
2018-07-30,122.330002,122.910004,121.209999,121.620003,116.046646,580400
